route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,blockname
33,305,132399020,SHUTTLE PARK SOUTH,1,6702,33:51,3355
33,305,132400020,SHUTTLE PARK SOUTH,1,6702,33:51,3355
33,305,132401020,SHUTTLE PARK SOUTH,1,6702,33:51,3355
33,305,132402020,SHUTTLE PARK SOUTH,1,6702,33:51,3355
33,305,132403020,SHUTTLE PARK SOUTH,1,6702,33:51,3355
33,58,132471070,SHUTTLE PARK NORTH,0,6707,33:03,3355
33,58,132476070,SHUTTLE PARK NORTH,0,6707,33:01,3355
33,58,132481070,SHUTTLE PARK NORTH,0,6707,33:01,3355
33,58,132485070,SHUTTLE PARK NORTH,0,6707,33:01,3355
33,58,132489070,SHUTTLE PARK NORTH,0,6707,33:01,3355
33,58,132493070,SHUTTLE PARK NORTH,0,6707,33:01,3355
33,58,132497070,SHUTTLE PARK NORTH,0,6707,33:01,3355
33,58,132501070,SHUTTLE PARK NORTH,0,6707,33:01,3355
34,305,131388020,TREMONT + FRAZIER,0,6902,34:49,3401
34,305,131389020,TREMONT + FRAZIER,0,6902,34:49,3401
34,305,131390020,TREMONT + FRAZIER,0,6902,34:49,3401
34,305,131391020,TREMONT + FRAZIER,0,6902,34:49,3401
34,305,131392020,TREMONT + FRAZIER,0,6902,34:49,3401
34,305,131393020,TREMONT + FRAZIER,0,6902,34:49,3401
34,305,131394020,TREMONT + FRAZIER,0,6902,34:49,3401
34,305,131395020,TREMONT + FRAZIER,0,6902,34:49,3401
34,305,131396020,TREMONT + FRAZIER,0,6902,34:49,3401
34,305,131397020,TREMONT + FRAZIER,0,6902,34:49,3401
34,305,131398020,TREMONT + FRAZIER,0,6902,34:49,3401
34,305,131399020,TREMONT + FRAZIER,0,6902,34:49,3401
34,305,131400020,TREMONT + FRAZIER,0,6902,34:49,3401
34,305,131401020,TREMONT + FRAZIER,0,6902,34:49,3401
34,305,131402020,TREMONT + FRAZIER,0,6902,34:49,3401
34,305,131403020,TREMONT + FRAZIER,0,6902,34:49,3401
34,305,131404020,TREMONT + FRAZIER,0,6902,34:49,3401
34,305,131405020,TREMONT + FRAZIER,0,6902,34:49,3401
34,305,131406020,TREMONT + FRAZIER,0,6902,34:49,3401
34,305,131407020,TREMONT + FRAZIER,0,6902,34:49,3401
34,305,131408020,TREMONT + FRAZIER,0,6902,34:49,3401
34,305,131409020,TREMONT + FRAZIER,0,6902,34:49,3401
34,305,131410020,TREMONT + FRAZIER,0,6902,34:49,3401
34,305,131411020,TREMONT + FRAZIER,0,6902,34:49,3401
34,305,131412020,TREMONT + FRAZIER,0,6902,34:49,3401
34,305,131413020,TREMONT + FRAZIER,0,6902,34:49,3401
34,305,131414020,TREMONT + FRAZIER,0,6902,34:49,3401
34,305,131415020,TREMONT + FRAZIER,0,6902,34:49,3401
34,58,131469070,TREMONT + FRAZIER,0,6907,34:49,3401
34,58,131470070,TREMONT + FRAZIER,0,6907,34:49,3401
34,58,131471070,TREMONT + FRAZIER,0,6907,34:49,3401
34,58,131472070,TREMONT + FRAZIER,0,6907,34:49,3401
34,58,131473070,TREMONT + FRAZIER,0,6907,34:49,3401
34,58,131474070,TREMONT + FRAZIER,0,6907,34:49,3401
34,58,131475070,TREMONT + FRAZIER,0,6907,34:49,3401
34,58,131476070,TREMONT + FRAZIER,0,6907,34:49,3401
34,58,131477070,TREMONT + FRAZIER,0,6907,34:49,3401
34,58,131478070,TREMONT + FRAZIER,0,6907,34:49,3401
34,58,131479070,TREMONT + FRAZIER,0,6907,34:49,3401
34,58,131480070,TREMONT + FRAZIER,0,6907,34:49,3401
34,58,131481070,TREMONT + FRAZIER,0,6907,34:49,3401
34,58,131482070,TREMONT + FRAZIER,0,6907,34:49,3401
34,58,131483070,TREMONT + FRAZIER,0,6907,34:49,3401
34,58,131484070,TREMONT + FRAZIER,0,6907,34:49,3401
34,58,131485070,TREMONT + FRAZIER,0,6907,34:49,3401
34,58,131486070,TREMONT + FRAZIER,0,6907,34:49,3401
34,58,131487070,TREMONT + FRAZIER,0,6907,34:49,3401
34,58,131488070,TREMONT + FRAZIER,0,6907,34:49,3401
34,58,131489070,SHUTTLE PARK NORTH,1,6907,34:99,3401
34,58,131490070,SHUTTLE PARK NORTH,1,6907,34:99,3401
34,58,131491070,SHUTTLE PARK NORTH,1,6907,34:99,3401
34,58,131492070,SHUTTLE PARK NORTH,1,6907,34:99,3401
34,58,131493070,SHUTTLE PARK NORTH,1,6907,34:99,3401
34,58,131494070,SHUTTLE PARK NORTH,1,6907,34:99,3401
34,58,131495070,SHUTTLE PARK NORTH,1,6907,34:99,3401
34,58,131496070,SHUTTLE PARK NORTH,1,6907,34:99,3401
4,305,131518020,EASTGATE HAMILTON PL,0,7702,4:10,4010
4,305,131552020,EASTGATE HAMILTON PL,0,7702,4:13,4010
4,305,131603020,DOWNTOWN,1,7702,4:64,4010
4,305,131624020,DOWNTOWN,1,7702,4:65,4010
4,305,131538020,EASTGATE HAMILTON PL,0,7802,4:10,4011
4,305,131610020,DOWNTOWN,1,7802,4:65,4011
21,64,131269010,GOLDEN GATEWAY,0,7601,21:01,401
21,64,131275010,GOLDEN GATEWAY,0,7601,21:01,401
21,64,131280010,DOWNTOWN,1,7601,21:53,401
21,64,131287010,DOWNTOWN,1,7601,21:53,401
4,64,131742010,EASTGATE HAMILTON PL,0,7601,4:13,401
4,64,131745010,EASTGATE HAMILTON PL,0,7601,4:13,401
4,64,131750010,EASTGATE HAMILTON PL,0,7601,4:10,401
4,64,131753010,DOWNTOWN VIA GOLDEN GATE,1,7601,4:69,401
4,64,131757010,DOWNTOWN VIA GOLDEN GATE,1,7601,4:69,401
4,64,131761010,DOWNTOWN VIA GOLDEN GATE,1,7601,4:69,401
4,305,131521020,EASTGATE HAMILTON PL,0,7602,4:13,401
4,305,131527020,EASTGATE HAMILTON PL,0,7602,4:13,401
4,305,131534020,EASTGATE HAMILTON PL,0,7602,4:10,401
4,305,131536020,EASTGATE HAMILTON PL,0,7602,4:13,401
4,305,131588020,DOWNTOWN,1,7602,4:64,401
4,305,131598020,DOWNTOWN,1,7602,4:64,401
4,58,131719070,DOWNTOWN,1,8007,4:65,403
4,305,131520020,EASTGATE HAMILTON PL,0,8202,4:10,4042
4,305,131540020,EASTGATE HAMILTON PL,0,8202,4:13,4042
4,305,131594020,DOWNTOWN,1,8202,4:64,4042
4,305,131612020,DOWNTOWN,1,8202,4:65,4042
21,64,131266010,GOLDEN GATEWAY,0,8101,21:01,404
21,64,131278010,DOWNTOWN,1,8101,21:53,404
4,64,131741010,EASTGATE HAMILTON PL,0,8101,4:10,404
4,64,131743010,EASTGATE HAMILTON PL,0,8101,4:13,404
4,64,131752010,DOWNTOWN VIA GOLDEN GATE,1,8101,4:69,404
4,64,131755010,DOWNTOWN,1,8101,4:65,404
4,305,131524020,EASTGATE HAMILTON PL,0,8102,4:10,404
4,305,131530020,EASTGATE HAMILTON PL,0,8102,4:13,404
4,305,131592020,DOWNTOWN,1,8102,4:65,404
4,305,131595020,DOWNTOWN,1,8102,4:64,404
21,58,131232070,GOLDEN GATEWAY,0,8107,21:01,404
21,58,131251070,DOWNTOWN,1,8107,21:55,404
4,58,131672070,EASTGATE HAMILTON PL,0,8107,4:13,404
4,58,131681070,EASTGATE HAMILTON PL,0,8107,4:13,404
4,58,131683070,EASTGATE HAMILTON PL,0,8107,4:10,404
21,58,131249070,DOWNTOWN,1,8607,21:53,407
4,58,131673070,EASTGATE HAMILTON PL,0,8607,4:13,407
4,58,131686070,EASTGATE HAMILTON PL,0,8607,4:13,407
4,58,131717070,DOWNTOWN,1,8607,4:64,407
4,58,131731070,DOWNTOWN,1,8607,4:65,407
4,305,131569020,EASTGATE HAMILTON PL,0,8902,4:10,4082
4,305,131578020,EASTGATE HAMILTON PL,0,8902,4:13,4082
4,305,131641020,DOWNTOWN,1,8902,4:64,4082
4,305,131650020,DOWNTOWN,1,8902,4:65,4082
4,305,131522020,EASTGATE HAMILTON PL,0,8802,4:13,408
4,305,131529020,EASTGATE HAMILTON PL,0,8802,4:10,408
4,305,131591020,DOWNTOWN,1,8802,4:65,408
4,305,131599020,DOWNTOWN,1,8802,4:64,408
21,58,131231070,GOLDEN GATEWAY,0,8807,21:01,408
21,58,131250070,DOWNTOWN,1,8807,21:53,408
4,58,131684070,EASTGATE HAMILTON PL,0,8807,4:13,408
4,58,131729070,DOWNTOWN,1,8807,4:65,408
21,58,132879070,GOLDEN GATEWAY,0,8807,21:02,408
21,58,132880070,DOWNTOWN,1,8807,21:52,408
1,305,130220020,ALTON PARK,0,9002,1:03,409
1,305,130241020,DOWNTOWN,1,9002,1:66,409
10A,305,130381020,AVONDALE,0,9002,10A:01,409
21,58,131235070,GOLDEN GATEWAY,0,9607,21:02,452
21,58,131238070,GOLDEN GATEWAY,0,9607,21:01,452
21,58,131254070,DOWNTOWN,1,9607,21:53,452
21,58,131257070,DOWNTOWN,1,9607,21:51,452
4,58,131697070,EASTGATE HAMILTON PL,0,9607,4:13,452
4,58,131740070,DOWNTOWN VIA GOLDEN GATE,1,9607,4:69,452
21,64,131273010,GOLDEN GATEWAY,0,9701,21:01,453
21,64,131285010,DOWNTOWN,1,9701,21:55,453
4,64,131746010,EASTGATE HAMILTON PL,0,9701,4:13,453
4,64,131758010,DOWNTOWN VIA GOLDEN GATE,1,9701,4:69,453
21,64,132851010,GOLDEN GATEWAY,0,9701,21:02,453
21,64,132852010,DOWNTOWN,1,9701,21:53,453
4,305,131548020,EASTGATE HAMILTON PL,0,9702,4:10,453
4,305,131549020,EASTGATE HAMILTON PL,0,9702,4:13,453
4,305,131550020,EASTGATE HAMILTON PL,0,9702,4:13,453
4,305,131551020,EASTGATE HAMILTON PL,0,9702,4:13,453
4,305,131620020,DOWNTOWN,1,9702,4:64,453
4,305,131621020,DOWNTOWN,1,9702,4:64,453
4,305,131622020,DOWNTOWN,1,9702,4:64,453
4,305,131623020,DOWNTOWN,1,9702,4:65,453
4,58,131657070,EASTGATE HAMILTON PL,0,9707,4:13,453
4,58,131677070,EASTGATE HAMILTON PL,0,9707,4:10,453
4,58,131725070,DOWNTOWN,1,10007,4:64,456
4,305,131573020,EASTGATE HAMILTON PL,0,10102,4:10,457
